year,placement_percentage,average_package,highest_package,visiting_companies
2014,61.4901424590337,5.120981135783017,11.713687390407179,51
2015,62.08520709648645,4.443359877671101,11.330244873597485,45
2016,66.94306561430207,4.937541083743484,10.041865554514104,53
2017,72.06908956922408,5.918856235379514,15.54853662514013,66
2018,69.29753987583,6.093584439832788,14.03268371974436,74
2019,71.79758912915246,7.157123666297637,17.30942166615754,76
2020,79.73763844652217,6.9459879622393945,16.161556681139693,79
2021,79.80230418745873,7.093848149332355,21.439176742348764,83
2022,78.59157684219514,8.932824384460776,22.30506651167607,83
2023,84.1276801307579,8.487111849756731,19.102357766480026,91
2024,83.60974692156262,9.033764102343962,24.229500080066284,98
2025,86.10281073928923,8.687625906893272,19.27737746729114,110
